Starred,Model ID,Feature List ID,Feature List,Model Features,Sample Size,Prediction Threshold,Modeling Results,Model Type,Reference Model,Prediction Threshold Locked,Insights,DataRobot Prime,Sample %,Holdout Size,Predicted Ram Usage,Total Prediction API Requirements,Uses GPU,Monotonic Constraints,Monotonic Feature List,Smart Sampling,Smart Sample Size
False,64180399bd1a54ac74d15b1e,64180398bd1a54ac74d15b16,DR Reduced Features M39,"Missing Values Imputed, Light Gradient Boosted Trees Classifier with Early Stopping",138460,0.5,"AUC: [0.98185], Area Under PR Curve: [0.98776], FVE Binomial: [0.84964], Gini Norm: [0.9637], Kolmogorov-Smirnov: [0.94799], LogLoss: [0.10422], Max MCC: [0.94881], RMSE: [0.16031], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosted Trees Classifier with Early Stopping,False,False,NA,False,63.999631,43269,,0,False,False,,,
False,64180429b52a37b8f07ce6dd,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Light Gradient Boosted Trees Classifier with Early Stopping",173076,0.5,"AUC: [0.9828, 0.9836219999999999], Area Under PR Curve: [0.98832, 0.9888299999999999], FVE Binomial: [0.85393, 0.858284], Gini Norm: [0.9656, 0.967244], Kolmogorov-Smirnov: [0.94936, 0.9506600000000001], LogLoss: [0.10124, 0.098224], Max MCC: [0.95008, 0.9513400000000001], RMSE: [0.1586, 0.15573800000000002], Rate@Top10%: [1.0, 1.0], Rate@Top5%: [1.0, 1.0], Rate@TopTenth%: [1.0, 1.0], labels: ['(0,-1)', '(.,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosted Trees Classifier with Early Stopping,False,False,NA,False,80.0,43269,,0,False,False,,,
False,6417f79074becafa6bce9adc,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Gradient Boosted Trees Classifier",34615,0.5,"AUC: [0.9597], Area Under PR Curve: [0.97434], FVE Binomial: [0.62185], Gini Norm: [0.9194], Kolmogorov-Smirnov: [0.90636], LogLoss: [0.2621], Max MCC: [0.90958], RMSE: [0.25973], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Gradient Boosted Trees Classifier,True,False,NA,False,15.999908,43269,,0,False,False,,,
False,6417faaff3f3e7c68c4d1902,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Gradient Boosted Trees Classifier",69230,0.5,"AUC: [0.95985], Area Under PR Curve: [0.97452], FVE Binomial: [0.62637], Gini Norm: [0.9197], Kolmogorov-Smirnov: [0.90524], LogLoss: [0.25896], Max MCC: [0.90842], RMSE: [0.25762], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Gradient Boosted Trees Classifier,True,False,NA,False,31.999816,43269,,0,False,False,,,
False,6417fe6ccbdcdfcc844a8e84,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Gradient Boosted Trees Classifier",138460,0.5,"AUC: [0.95961], Area Under PR Curve: [0.97434], FVE Binomial: [0.63356], Gini Norm: [0.91922], Kolmogorov-Smirnov: [0.90677], LogLoss: [0.25398], Max MCC: [0.91002], RMSE: [0.25458], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Gradient Boosted Trees Classifier,True,False,NA,False,63.999631,43269,,0,False,False,,,
False,6417f79074becafa6bce9ae6,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Smooth Ridit Transform, Stochastic Gradient Descent Classifier",34615,0.5,"AUC: [0.93516], Area Under PR Curve: [0.95822], FVE Binomial: [0.62692], Gini Norm: [0.87032], Kolmogorov-Smirnov: [0.842], LogLoss: [0.25859], Max MCC: [0.85022], RMSE: [0.26793], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Stochastic Gradient Descent Classifier,False,False,NA,False,15.999908,43269,,0,False,False,,,
False,6417fab0f3f3e7c68c4d1909,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Smooth Ridit Transform, Stochastic Gradient Descent Classifier",69230,0.5,"AUC: [0.93421], Area Under PR Curve: [0.95769], FVE Binomial: [0.62022], Gini Norm: [0.86842], Kolmogorov-Smirnov: [0.83726], LogLoss: [0.26323], Max MCC: [0.8453], RMSE: [0.27149], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Stochastic Gradient Descent Classifier,False,False,NA,False,31.999816,43269,,0,False,False,,,
False,6417f79074becafa6bce9ad8,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Decision Tree Classifier (Gini)",34615,0.5,"AUC: [0.94883], Area Under PR Curve: [0.96249], FVE Binomial: [-0.06428], Gini Norm: [0.89766], Kolmogorov-Smirnov: [0.86071], LogLoss: [0.73766], Max MCC: [0.86733], RMSE: [0.25167], Rate@Top10%: [0.99591], Rate@Top5%: [0.99591], Rate@TopTenth%: [0.99591], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Decision Tree Classifier (Gini),True,False,NA,False,15.999908,43269,,0,False,False,,,
False,6417faaff3f3e7c68c4d1907,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Decision Tree Classifier (Gini)",69230,0.5,"AUC: [0.95625], Area Under PR Curve: [0.96333], FVE Binomial: [-0.36895], Gini Norm: [0.9125], Kolmogorov-Smirnov: [0.88658], LogLoss: [0.94883], Max MCC: [0.89012], RMSE: [0.23424], Rate@Top10%: [0.9921], Rate@Top5%: [0.9921], Rate@TopTenth%: [0.9921], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Decision Tree Classifier (Gini),True,False,NA,False,31.999816,43269,,0,False,False,,,
False,6417fe6ccbdcdfcc844a8e85,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Decision Tree Classifier (Gini)",138460,0.5,"AUC: [0.96164], Area Under PR Curve: [0.97033], FVE Binomial: [-0.09623], Gini Norm: [0.92328], Kolmogorov-Smirnov: [0.89757], LogLoss: [0.7598], Max MCC: [0.90044], RMSE: [0.21855], Rate@Top10%: [0.99535], Rate@Top5%: [0.99535], Rate@TopTenth%: [0.99535], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Decision Tree Classifier (Gini),True,False,NA,False,63.999631,43269,,0,False,False,,,
